year,id,ifr_itin_ac,ifr_itin_at,ifr_itin_ga,ifr_itin_mil,ifr_itin,vfr_itin_ac,vfr_itin_at,vfr_itin_ga,vfr_itin_mil,vfr_itin,itin_ac,itin_at,itin_ga,itin_mil,itin,local_civil,local_mil,local,total_ops
2000,GLH,1,1546,2046,1846,5439,3,386,6468,437,7294,4,1932,8514,2283,12733,5015,20674,25689,38422
2000,GMU,0,7493,7814,17,15324,0,1716,36429,477,38622,0,9209,44243,494,53946,30837,196,31033,84979
2000,GNV,1516,8128,12548,543,22735,284,699,28280,1164,30427,1800,8827,40828,1707,53162,24861,3034,27895,81057
2000,GON,0,2429,6911,697,10037,2,1913,26288,1426,29629,2,4342,33199,2123,39666,32693,1876,34569,74235
2000,GPM,0,0,1567,0,1567,0,0,39362,29,39391,0,0,40929,29,40958,44649,452,45101,86059
2000,GPT,9043,6709,14019,13291,43062,515,486,13926,3222,18149,9558,7195,27945,16513,61211,35799,25887,61686,122897
2000,GRB,8539,13850,14176,178,36743,846,902,1376,202,3326,9385,14752,15552,380,40069,25365,46,25411,65480
2000,GRI,9,4223,4760,110,9102,82,758,7304,333,8477,91,4981,12064,443,17579,5210,286,5496,23075
2000,GRR,19992,44915,31696,492,97095,1283,2206,16408,287,20184,21275,47121,48104,779,117279,18281,905,19186,136465
2000,GSN,6232,4263,469,43,11007,332,19327,9104,251,29014,6564,23590,9573,294,40021,1601,97,1698,41719
2000,GSO,38965,31460,30177,303,100905,410,380,17920,155,18865,39375,31840,48097,458,119770,18345,526,18871,138641
2000,GSP,16573,33551,10061,1094,61279,354,691,4984,327,6356,16927,34242,15045,1421,67635,1863,880,2743,70378
2000,GTF,9754,12434,4896,5243,32327,101,1377,12920,3544,17942,9855,13811,17816,8787,50269,17306,4783,22089,72358
2000,GUM,20132,4495,866,257,25750,592,282,6708,3542,11124,20724,4777,7574,3799,36874,19986,6529,26515,63389
2000,GYR,69,10,1843,0,1922,131,50,60732,183,61096,200,60,62575,183,63018,79334,106,79440,142458
2000,GYY,1407,441,6242,44,8134,403,321,13393,421,14538,1810,762,19635,465,22672,29498,662,30160,52832
2000,HEF,0,1619,11550,11,13180,0,864,92324,288,93476,0,2483,103874,299,106656,29314,76,29390,136046
2000,HFD,0,343,5941,8,6292,0,988,63901,550,65439,0,1331,69842,558,71731,45996,110,46106,117837
2000,HGR,719,2112,5247,266,8344,126,359,25943,1143,27571,845,2471,31190,1409,35915,16038,696,16734,52649
2000,HHR,0,633,6280,4,6917,11,516,27643,104,28274,11,1149,33923,108,35191,43099,122,43221,78412
2000,HIO,0,2334,15571,58,17963,0,4896,67630,1045,73571,0,7230,83201,1103,91534,151645,1332,152977,244511
2000,HKS,0,1454,6345,644,8443,0,688,14705,2214,17607,0,2142,21050,2858,26050,28698,2194,30892,56942
2000,HKY,1,3314,8717,15,12047,11,435,14784,342,15572,12,3749,23501,357,27619,7804,9,7813,35432
2000,HLG,0,85,2141,164,2390,0,314,13354,2178,15846,0,399,15495,2342,18236,15333,6813,22146,40382
2000,HLN,2788,9316,4555,836,17495,145,3318,20234,3280,26977,2933,12634,24789,4116,44472,15550,3488,19038,63510
2000,HNL,202105,11176,14085,12399,239765,4420,20237,69907,2756,97320,206525,31413,83992,15155,337085,7681,730,8411,345496
2000,HOB,0,3541,960,42,4543,0,3976,21781,235,25992,0,7517,22741,277,30535,23976,686,24662,55197
2000,HOU,119673,22950,64075,40,206738,2419,3784,35047,991,42241,122092,26734,99122,1031,248979,2332,80,2412,251391
2000,HPN,12692,47541,87397,315,147945,723,1892,36885,324,39824,13415,49433,124282,639,187769,29291,22,29313,217082
2000,HRL,12673,2372,4156,3502,22703,1236,702,7646,634,10218,13909,3074,11802,4136,32921,3258,14190,17448,50369
2000,HSV,14861,10244,16414,6392,47911,700,536,9644,1484,12364,15561,10780,26058,7876,60275,18107,20122,38229,98504
2000,HTS,8467,3133,6880,410,18890,254,425,17412,385,18476,8721,3558,24292,795,37366,14978,366,15344,52710
2000,HUF,129,690,11068,3330,15217,34,126,16251,2223,18634,163,816,27319,5553,33851,25163,2556,27719,61570
2000,HUM,0,2523,2980,124,5627,0,42247,17176,376,59799,0,44770,20156,500,65426,9279,684,9963,75389
2000,HUT,0,819,6436,1379,8634,0,692,14653,1610,16955,0,1511,21089,2989,25589,32993,3653,36646,62235
2000,HVN,0,4663,4979,0,9642,0,597,21895,72,22564,0,5260,26874,72,32206,29050,256,29306,61512
2000,HWD,0,330,8602,0,8932,0,472,57858,38,58368,0,802,66460,38,67300,94966,20,94986,162286
2000,HWO,0,0,2119,0,2119,13,19,62527,54,62613,13,19,64646,54,64732,137814,699,138513,203245
2000,HYA,1,25604,5503,10,31118,7,72622,22571,137,95337,8,98226,28074,147,126455,9189,249,9438,135893
2000,IAD,162996,249159,57410,7622,477187,170,433,1995,84,2682,163166,249592,59405,7706,479869,62,0,62,479931
2000,IAG,4,235,4034,3012,7285,38,215,9481,281,10015,42,450,13515,3293,17300,13872,9759,23631,40931
2000,IAH,335818,117116,19312,97,472343,5164,4512,8290,257,18223,340982,121628,27602,354,490566,2,0,2,490568
2000,ICT,21455,24063,59349,4704,109571,282,967,49868,288,51405,21737,25030,109217,4992,160976,50996,5973,56969,217945
2000,IDA,11,11394,2021,30,13456,46,3314,13248,148,16756,57,14708,15269,178,30212,11891,140,12031,42243
2000,IFP,393,1617,896,12,2918,208,1704,29313,180,31405,601,3321,30209,192,34323,17152,157,17309,51632
2000,ILG,10,3160,25565,2123,30858,79,911,28938,1001,30929,89,4071,54503,3124,61787,63451,4783,68234,130021
2000,ILM,4183,15225,17959,2013,39380,332,1212,20603,1644,23791,4515,16437,38562,3657,63171,18116,3511,21627,84798
2000,IND,131859,72267,41867,1653,247646,510,568,8280,149,9507,132369,72835,50147,1802,257153,2695,12,2707,259860
2000,INT,32,326,17514,6,17878,79,250,24567,216,25112,111,576,42081,222,42990,29559,118,29677,72667
2000,IPT,0,5834,4552,23,10409,2,760,10636,134,11532,2,6594,15188,157,21941,6397,22,6419,28360
2000,ISM,0,0,10913,0,10913,0,448,50013,97,50558,0,448,60926,97,61471,84710,0,84710,146181
2000,ISO,22,1260,5073,1244,7599,124,398,13945,2086,16553,146,1658,19018,3330,24152,5252,1712,6964,31116
2000,ISP,22623,13045,27367,389,63424,3754,2351,54945,1287,62337,26377,15396,82312,1676,125761,110071,2407,112478,238239
2000,ITH,2457,9701,5558,3,17719,234,703,10045,69,11051,2691,10404,15603,72,28770,23533,35,23568,52338
2000,ITO,21060,794,1317,2074,25245,1196,47886,13964,2470,65516,22256,48680,15281,4544,90761,17627,7148,24775,115536
2000,IWA,478,270,15026,2049,17823,432,4049,27907,2079,34467,910,4319,42933,4128,52290,99701,6498,106199,158489
2000,IXD,1,119,2199,22,2341,12,77,3401,243,3733,13,196,5600,265,6074,6740,423,7163,13237
2000,JAC,111,695,740,0,1546,1035,5113,15239,88,21475,1146,5808,15979,88,23021,2808,51,2859,25880
2000,JAN,20409,16235,17390,7486,61520,335,388,8515,629,9867,20744,16623,25905,8115,71387,1438,17928,19366,90753
2000,JAX,64163,25806,25178,6514,121661,1956,1328,8692,1461,13437,66119,27134,33870,7975,135098,4828,8871,13699,148797
2000,JFK,247453,95408,7026,392,350279,386,3535,4316,435,8672,247839,98943,11342,827,358951,0,0,0,358951
2000,JLN,1,5022,6016,2,11041,12,703,13377,123,14215,13,5725,19393,125,25256,11905,34,11939,37195
